ChicagoBulls,1991|1992|1993|1996|1997|1998
SanAntonioSpurs,1999|2003|2005|2007|2014
GoldenStateWarriors,1947|1956|1975|2015|2017|2018|2022
BostonCeltics,1957|1959|1960|1961|1962|1963|1964|1965|1966|1968|1969|1974|1976|1981|1984|1986|2008
L.A.Lakers,1949|1950|1952|1953|1954|1972|1980|1982|1985|1987|1988|2000|2001|2002|2009|2010|2020
MiamiHeat,2006|2012|2013
Philadelphia76ers,1955|1967|1983
DetroitPistons,1989|1990|2004
HoustonRockets,1994|1995
NewYorkKnicks,1970|1973
ClevelandCavaliers,2016
TorontoRaptors,2019
MilwaukeeBucks,2021
